day_count,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year
1,29-12-2023,21737.65,21731.4,-6.25,-0.028751958,2023
2,28-12-2023,21715,21778.7,63.7,0.293345614,2023
3,27-12-2023,21497.65,21654.75,157.1,0.73077755,2023
4,26-12-2023,21365.2,21441.35,76.15,0.356420722,2023
5,22-12-2023,21295.85,21349.4,53.55,0.251457444,2023
6,21-12-2023,21033.95,21255.05,221.1,1.051157771,2023
7,20-12-2023,21543.5,21150.15,-393.35,-1.825840741,2023
8,19-12-2023,21477.65,21453.1,-24.55,-0.11430487,2023
9,18-12-2023,21434.8,21418.65,-16.15,-0.075344766,2023
10,15-12-2023,21287.45,21456.65,169.2,0.794834515,2023
11,14-12-2023,21110.4,21182.7,72.3,0.342485221,2023
12,13-12-2023,20929.75,20926.35,-3.4,-0.016244819,2023
13,12-12-2023,21018.55,20906.4,-112.15,-0.533576293,2023
14,11-12-2023,20965.3,20997.1,31.8,0.151679203,2023
15,08-12-2023,20934.1,20969.4,35.3,0.168624398,2023
16,07-12-2023,20932.4,20901.15,-31.25,-0.149290096,2023
17,06-12-2023,20950.75,20937.7,-13.05,-0.06228894,2023
18,05-12-2023,20808.9,20855.1,46.2,0.222020386,2023
19,04-12-2023,20601.95,20686.8,84.85,0.411854218,2023
20,01-12-2023,20194.1,20267.9,73.8,0.365453276,2023
21,30-11-2023,20108.5,20133.15,24.65,0.122584977,2023
22,29-11-2023,19976.55,20096.6,120.05,0.600954619,2023
23,28-11-2023,19844.65,19889.7,45.05,0.227013326,2023
24,24-11-2023,19809.6,19794.7,-14.9,-0.075216057,2023
25,23-11-2023,19828.45,19802,-26.45,-0.133394189,2023
26,22-11-2023,19784,19811.85,27.85,0.140770319,2023
27,21-11-2023,19770.9,19783.4,12.5,0.063224234,2023
28,20-11-2023,19731.15,19694,-37.15,-0.188280967,2023
29,17-11-2023,19674.75,19731.8,57.05,0.289965565,2023
30,16-11-2023,19674.7,19765.2,90.5,0.459981601,2023
31,15-11-2023,19651.4,19675.45,24.05,0.122383138,2023
32,13-11-2023,19486.75,19443.55,-43.2,-0.221689096,2023
33,12-11-2023,19547.25,19525.55,-21.7,-0.111013058,2023
34,10-11-2023,19351.85,19425.35,73.5,0.379808649,2023
35,09-11-2023,19457.4,19395.3,-62.1,-0.319158778,2023
36,08-11-2023,19449.6,19443.5,-6.1,-0.031363113,2023
37,07-11-2023,19404.05,19406.7,2.65,0.013656943,2023
38,06-11-2023,19345.85,19411.75,65.9,0.340641533,2023
39,03-11-2023,19241,19230.6,-10.4,-0.054051245,2023
40,02-11-2023,19120,19133.25,13.25,0.069299163,2023
41,01-11-2023,19064.05,18989.15,-74.9,-0.392886087,2023
42,31-10-2023,19232.95,19079.6,-153.35,-0.797329583,2023
43,30-10-2023,19053.4,19140.9,87.5,0.459235622,2023
44,27-10-2023,18928.75,19047.25,118.5,0.62603183,2023
45,26-10-2023,19027.25,18857.25,-170,-0.893455439,2023
46,25-10-2023,19286.45,19122.15,-164.3,-0.851893428,2023
47,23-10-2023,19521.6,19281.75,-239.85,-1.228639046,2023
48,20-10-2023,19542.15,19542.65,0.5,0.002558572,2023
49,19-10-2023,19545.2,19624.7,79.5,0.406749483,2023
50,18-10-2023,19820.45,19671.1,-149.35,-0.753514678,2023
51,17-10-2023,19843.2,19811.5,-31.7,-0.159752459,2023
52,16-10-2023,19737.25,19731.75,-5.5,-0.027866091,2023
53,13-10-2023,19654.55,19751.05,96.5,0.49098046,2023
54,12-10-2023,19822.7,19794,-28.7,-0.144783506,2023
55,11-10-2023,19767,19811.35,44.35,0.224363839,2023
56,10-10-2023,19565.6,19689.85,124.25,0.635043137,2023
57,09-10-2023,19539.45,19512.35,-27.1,-0.138693771,2023
58,06-10-2023,19621.2,19653.5,32.3,0.164617862,2023
59,05-10-2023,19521.85,19545.75,23.9,0.122426922,2023
60,04-10-2023,19446.3,19436.1,-10.2,-0.052452137,2023
61,03-10-2023,19622.4,19528.75,-93.65,-0.477260682,2023
62,29-09-2023,19581.2,19638.3,57.1,0.291606235,2023
63,28-09-2023,19761.8,19523.55,-238.25,-1.205608801,2023
64,27-09-2023,19637.05,19716.45,79.4,0.404337719,2023
65,26-09-2023,19682.8,19664.7,-18.1,-0.091958461,2023
66,25-09-2023,19678.2,19674.55,-3.65,-0.018548444,2023
67,22-09-2023,19744.85,19674.25,-70.6,-0.357561592,2023
68,21-09-2023,19840.55,19742.35,-98.2,-0.494945957,2023
69,20-09-2023,19980.75,19901.4,-79.35,-0.39713224,2023
70,18-09-2023,20155.95,20133.3,-22.65,-0.112373766,2023
71,15-09-2023,20156.45,20192.35,35.9,0.17810676,2023
72,14-09-2023,20127.95,20103.1,-24.85,-0.123460164,2023
73,13-09-2023,19989.5,20070,80.5,0.402711423,2023
74,12-09-2023,20110.15,19993.2,-116.95,-0.581547129,2023
75,11-09-2023,19890,19996.35,106.35,0.534690799,2023
76,08-09-2023,19774.8,19819.95,45.15,0.228320893,2023
77,07-09-2023,19598.65,19727.05,128.4,0.655147166,2023
78,06-09-2023,19581.2,19611.05,29.85,0.152442138,2023
79,05-09-2023,19564.65,19574.9,10.25,0.052390408,2023
80,04-09-2023,19525.05,19528.8,3.75,0.019206097,2023
81,01-09-2023,19258.15,19435.3,177.15,0.919870289,2023
82,31-08-2023,19375.55,19253.8,-121.75,-0.628369259,2023
83,30-08-2023,19433.45,19347.45,-86,-0.442535937,2023
84,29-08-2023,19374.85,19342.65,-32.2,-0.166194835,2023
85,28-08-2023,19298.35,19306.05,7.7,0.039899784,2023
86,25-08-2023,19297.4,19265.8,-31.6,-0.16375263,2023
87,24-08-2023,19535.15,19386.7,-148.45,-0.759912261,2023
88,23-08-2023,19439.2,19444,4.8,0.024692374,2023
89,22-08-2023,19417.1,19396.45,-20.65,-0.106349558,2023
90,21-08-2023,19320.65,19393.6,72.95,0.377575289,2023
91,18-08-2023,19301.75,19310.15,8.4,0.04351937,2023
92,17-08-2023,19450.55,19365.25,-85.3,-0.43854801,2023
93,16-08-2023,19369,19465,96,0.495637359,2023
94,14-08-2023,19383.95,19434.55,50.6,0.261040706,2023
95,11-08-2023,19554.25,19428.3,-125.95,-0.644105501,2023
96,10-08-2023,19605.55,19543.1,-62.45,-0.318532252,2023
97,09-08-2023,19578.8,19632.55,53.75,0.274531636,2023
98,08-08-2023,19627.2,19570.85,-56.35,-0.287101573,2023
99,07-08-2023,19576.85,19597.3,20.45,0.104460115,2023
100,04-08-2023,19462.8,19517,54.2,0.278479972,2023
101,03-08-2023,19463.75,19381.65,-82.1,-0.421809775,2023
102,02-08-2023,19655.4,19526.55,-128.85,-0.655545041,2023
103,01-08-2023,19784,19733.55,-50.45,-0.255004044,2023
104,31-07-2023,19666.35,19753.8,87.45,0.444668177,2023
105,28-07-2023,19659.75,19646.05,-13.7,-0.069685525,2023
106,27-07-2023,19850.9,19659.9,-191,-0.962173,2023
107,26-07-2023,19733.35,19778.3,44.95,0.22778697,2023
108,25-07-2023,19729.35,19680.6,-48.75,-0.247093797,2023
109,24-07-2023,19748.45,19672.35,-76.1,-0.385346698,2023
110,21-07-2023,19800.45,19745,-55.45,-0.28004414,2023
111,20-07-2023,19831.7,19979.15,147.45,0.743506608,2023
112,19-07-2023,19802.95,19833.15,30.2,0.152502531,2023
113,18-07-2023,19787.5,19749.25,-38.25,-0.193303853,2023
114,17-07-2023,19612.15,19711.45,99.3,0.506318787,2023
115,14-07-2023,19493.45,19564.5,71.05,0.364481403,2023
116,13-07-2023,19495.2,19413.75,-81.45,-0.41779515,2023
117,12-07-2023,19497.45,19384.3,-113.15,-0.5803323,2023
118,11-07-2023,19427.1,19439.4,12.3,0.063313619,2023
119,10-07-2023,19400.35,19355.9,-44.45,-0.229119578,2023
120,07-07-2023,19422.8,19331.8,-91,-0.468521531,2023
121,06-07-2023,19385.7,19497.3,111.6,0.575682075,2023
122,05-07-2023,19405.95,19398.5,-7.45,-0.038390288,2023
123,04-07-2023,19406.6,19389,-17.6,-0.090690796,2023
124,03-07-2023,19246.5,19322.55,76.05,0.395136778,2023
125,30-06-2023,19076.85,19189.05,112.2,0.588147414,2023
126,28-06-2023,18908.15,18972.1,63.95,0.338213945,2023
127,27-06-2023,18748.55,18817.4,68.85,0.367228399,2023
128,26-06-2023,18682.35,18691.2,8.85,0.047370914,2023
129,23-06-2023,18741.85,18665.5,-76.35,-0.407377073,2023
130,22-06-2023,18853.6,18771.25,-82.35,-0.436786608,2023
131,21-06-2023,18849.4,18856.85,7.45,0.039523804,2023
132,20-06-2023,18752.35,18816.7,64.35,0.343156991,2023
133,19-06-2023,18873.3,18755.45,-117.85,-0.624427101,2023
134,16-06-2023,18723.3,18826,102.7,0.548514418,2023
135,15-06-2023,18774.45,18688.1,-86.35,-0.45993358,2023
136,14-06-2023,18744.6,18755.9,11.3,0.060284028,2023
137,13-06-2023,18631.8,18716.15,84.35,0.452720617,2023
138,12-06-2023,18595.05,18601.5,6.45,0.03468665,2023
139,09-06-2023,18655.9,18563.4,-92.5,-0.495821697,2023
140,08-06-2023,18725.35,18634.55,-90.8,-0.484904154,2023
141,07-06-2023,18665.6,18726.4,60.8,0.325732899,2023
142,06-06-2023,18600.8,18599,-1.8,-0.009677003,2023
143,05-06-2023,18612,18593.85,-18.15,-0.09751773,2023
144,02-06-2023,18550.85,18534.1,-16.75,-0.090292359,2023
145,01-06-2023,18579.4,18487.75,-91.65,-0.493288265,2023
146,31-05-2023,18594.2,18534.4,-59.8,-0.321605662,2023
147,30-05-2023,18606.65,18633.85,27.2,0.146184294,2023
148,29-05-2023,18619.15,18598.65,-20.5,-0.110101696,2023
149,26-05-2023,18368.35,18499.35,131,0.713183274,2023
150,25-05-2023,18268.9,18321.15,52.25,0.286005178,2023
151,24-05-2023,18294.8,18285.4,-9.4,-0.05138072,2023
152,23-05-2023,18362.9,18348,-14.9,-0.081141868,2023
153,22-05-2023,18201.1,18314.4,113.3,0.62248985,2023
154,19-05-2023,18186.15,18203.4,17.25,0.094852401,2023
155,18-05-2023,18287.5,18129.95,-157.55,-0.86151743,2023
156,17-05-2023,18300.45,18181.75,-118.7,-0.64861793,2023
157,16-05-2023,18432.35,18286.5,-145.85,-0.791271867,2023
158,15-05-2023,18339.3,18398.85,59.55,0.324712503,2023
159,12-05-2023,18273.75,18314.8,41.05,0.224639168,2023
160,11-05-2023,18357.8,18297,-60.8,-0.33119437,2023
161,10-05-2023,18313.6,18315.1,1.5,0.008190634,2023
162,09-05-2023,18303.4,18265.95,-37.45,-0.204606794,2023
163,08-05-2023,18120.6,18264.4,143.8,0.793571957,2023
164,05-05-2023,18117.3,18069,-48.3,-0.266596016,2023
165,04-05-2023,18081,18255.8,174.8,0.966760688,2023
166,03-05-2023,18113.8,18089.85,-23.95,-0.132219634,2023
167,02-05-2023,18124.8,18147.65,22.85,0.126070357,2023
168,28-04-2023,17950.4,18065,114.6,0.638425885,2023
169,27-04-2023,17813.1,17915.05,101.95,0.572331599,2023
170,26-04-2023,17767.3,17813.6,46.3,0.260591086,2023
171,25-04-2023,17761.55,17769.25,7.7,0.043352072,2023
172,24-04-2023,17707.55,17743.4,35.85,0.202456015,2023
173,21-04-2023,17639.75,17624.05,-15.7,-0.089003529,2023
174,20-04-2023,17638.6,17624.45,-14.15,-0.080221786,2023
175,19-04-2023,17653.35,17618.75,-34.6,-0.195996794,2023
176,18-04-2023,17766.6,17660.15,-106.45,-0.599157971,2023
177,17-04-2023,17863,17706.85,-156.15,-0.874153278,2023
178,13-04-2023,17807.3,17828,20.7,0.116244462,2023
179,12-04-2023,17759.55,17812.4,52.85,0.297586369,2023
180,11-04-2023,17704.8,17722.3,17.5,0.098843252,2023
181,10-04-2023,17634.9,17624.05,-10.85,-0.061525725,2023
182,06-04-2023,17533.85,17599.15,65.3,0.372422486,2023
183,05-04-2023,17422.3,17557.05,134.75,0.773434047,2023
184,03-04-2023,17427.95,17398.05,-29.9,-0.171563494,2023
185,31-03-2023,17210.35,17359.75,149.4,0.868082288,2023
186,29-03-2023,16977.3,17080.7,103.4,0.609048553,2023
187,28-03-2023,17031.75,16951.7,-80.05,-0.47000455,2023
188,27-03-2023,16984.3,16985.7,1.4,0.008242907,2023
189,24-03-2023,17076.2,16945.05,-131.15,-0.768028016,2023
190,23-03-2023,17097.4,17076.9,-20.5,-0.119901272,2023
191,22-03-2023,17177.45,17151.9,-25.55,-0.148741519,2023
192,21-03-2023,17060.4,17107.5,47.1,0.276077935,2023
193,20-03-2023,17066.6,16988.4,-78.2,-0.458204915,2023
194,17-03-2023,17111.8,17100.05,-11.75,-0.068666067,2023
195,16-03-2023,16994.65,16985.6,-9.05,-0.053252053,2023
196,15-03-2023,17166.45,16972.15,-194.3,-1.131858946,2023
197,14-03-2023,17160.55,17043.3,-117.25,-0.683253159,2023
198,13-03-2023,17421.9,17154.3,-267.6,-1.535997796,2023
199,10-03-2023,17443.8,17412.9,-30.9,-0.177140302,2023
200,09-03-2023,17772.05,17589.6,-182.45,-1.026612012,2023
201,08-03-2023,17665.75,17754.4,88.65,0.501818491,2023
202,06-03-2023,17680.35,17711.45,31.1,0.175901495,2023
203,03-03-2023,17451.25,17594.35,143.1,0.819998567,2023
204,02-03-2023,17421.5,17321.9,-99.6,-0.571707373,2023
205,01-03-2023,17360.1,17450.9,90.8,0.523038462,2023
206,28-02-2023,17383.25,17303.95,-79.3,-0.456186271,2023
207,27-02-2023,17428.6,17392.7,-35.9,-0.205983269,2023
208,24-02-2023,17591.35,17465.8,-125.55,-0.713703042,2023
209,23-02-2023,17574.65,17511.25,-63.4,-0.360746871,2023
210,22-02-2023,17755.35,17554.3,-201.05,-1.132334761,2023
211,21-02-2023,17905.8,17826.7,-79.1,-0.441756302,2023
212,20-02-2023,17965.55,17844.6,-120.95,-0.673232937,2023
213,17-02-2023,17974.85,17944.2,-30.65,-0.170516027,2023
214,16-02-2023,18094.75,18035.85,-58.9,-0.32550878,2023
215,15-02-2023,17896.6,18015.85,119.25,0.666327682,2023
216,14-02-2023,17840.35,17929.85,89.5,0.501671772,2023
217,13-02-2023,17859.1,17770.9,-88.2,-0.493865872,2023
218,10-02-2023,17847.55,17856.5,8.95,0.050146939,2023
219,09-02-2023,17885.5,17893.45,7.95,0.044449414,2023
220,08-02-2023,17750.3,17871.7,121.4,0.683932103,2023
221,07-02-2023,17790.1,17721.5,-68.6,-0.385607726,2023
222,06-02-2023,17818.55,17764.6,-53.95,-0.302774356,2023
223,03-02-2023,17721.75,17854.05,132.3,0.746540268,2023
224,02-02-2023,17517.1,17610.4,93.3,0.532622409,2023
225,01-02-2023,17811.6,17616.3,-195.3,-1.096476454,2023
226,31-01-2023,17731.45,17662.15,-69.3,-0.390830981,2023
227,30-01-2023,17541.95,17648.95,107,0.609966395,2023
228,27-01-2023,17877.2,17604.35,-272.85,-1.526245721,2023
229,25-01-2023,18093.35,17891.95,-201.4,-1.113116145,2023
230,24-01-2023,18183.95,18118.3,-65.65,-0.361032669,2023
231,23-01-2023,18118.45,18118.55,0.1,0.000551924,2023
232,20-01-2023,18115.6,18027.65,-87.95,-0.485493166,2023
233,19-01-2023,18119.8,18107.85,-11.95,-0.065949955,2023
234,18-01-2023,18074.3,18165.35,91.05,0.503753949,2023
235,17-01-2023,17922.8,18053.3,130.5,0.728122838,2023
236,16-01-2023,18033.15,17894.85,-138.3,-0.766920921,2023
237,13-01-2023,17867.5,17956.6,89.1,0.498670771,2023
238,12-01-2023,17920.85,17858.2,-62.65,-0.349592793,2023
239,11-01-2023,17924.25,17895.7,-28.55,-0.15928142,2023
240,10-01-2023,18121.3,17914.15,-207.15,-1.143129908,2023
241,09-01-2023,17952.55,18101.2,148.65,0.828016076,2023
242,06-01-2023,18008.05,17859.45,-148.6,-0.825186514,2023
243,05-01-2023,18101.95,17992.15,-109.8,-0.606564486,2023
244,04-01-2023,18230.65,18042.95,-187.7,-1.029584793,2023
245,03-01-2023,18163.2,18232.55,69.35,0.38181598,2023
246,02-01-2023,18131.7,18197.45,65.75,0.362624575,2023
1,30-12-2022,18259.1,18105.3,-153.8,-0.84231972,2022
2,29-12-2022,18045.7,18191,145.3,0.805177965,2022
3,28-12-2022,18084.75,18122.5,37.75,0.208739408,2022
4,27-12-2022,18089.8,18132.3,42.5,0.234939026,2022
5,26-12-2022,17830.4,18014.6,184.2,1.033067121,2022
6,23-12-2022,17977.65,17806.8,-170.85,-0.95034668,2022
7,22-12-2022,18288.8,18127.35,-161.45,-0.882780718,2022
8,21-12-2022,18435.15,18199.1,-236.05,-1.280434388,2022
9,20-12-2022,18340.3,18385.3,45,0.245361308,2022
10,19-12-2022,18288.1,18420.45,132.35,0.723694643,2022
11,16-12-2022,18319.1,18269,-50.1,-0.273485051,2022
12,15-12-2022,18614.4,18414.9,-199.5,-1.071750903,2022
13,14-12-2022,18671.25,18660.3,-10.95,-0.058646315,2022
14,13-12-2022,18524.4,18608,83.6,0.451296668,2022
15,12-12-2022,18402.15,18497.15,95,0.516244026,2022
16,09-12-2022,18662.4,18496.6,-165.8,-0.888417353,2022
17,08-12-2022,18570.85,18609.35,38.5,0.207314151,2022
18,07-12-2022,18638.85,18560.5,-78.35,-0.420358552,2022
19,06-12-2022,18600.65,18642.75,42.1,0.226336176,2022
20,05-12-2022,18719.55,18701.05,-18.5,-0.098827162,2022
21,02-12-2022,18752.4,18696.1,-56.3,-0.300228237,2022
22,01-12-2022,18871.95,18812.5,-59.45,-0.315017791,2022
23,30-11-2022,18625.7,18758.35,132.65,0.712187998,2022
24,29-11-2022,18552.45,18618.05,65.6,0.353592113,2022
25,28-11-2022,18430.55,18562.75,132.2,0.71728733,2022
26,25-11-2022,18528.45,18512.75,-15.7,-0.084734557,2022
27,24-11-2022,18326.1,18484.1,158,0.862158342,2022
28,23-11-2022,18325.2,18267.25,-57.95,-0.316231201,2022
29,22-11-2022,18179.15,18244.2,65.05,0.357827511,2022
30,21-11-2022,18246.4,18159.95,-86.45,-0.47379209,2022
31,18-11-2022,18382.95,18307.65,-75.3,-0.409618696,2022
32,17-11-2022,18358.7,18343.9,-14.8,-0.08061573,2022
33,16-11-2022,18398.25,18409.65,11.4,0.061962415,2022
34,15-11-2022,18362.75,18403.4,40.65,0.221372071,2022
35,14-11-2022,18376.4,18329.15,-47.25,-0.257123267,2022
36,11-11-2022,18272.35,18349.7,77.35,0.423317198,2022
37,10-11-2022,18044.35,18028.2,-16.15,-0.0895017,2022
38,09-11-2022,18288.25,18157,-131.25,-0.717673916,2022
39,07-11-2022,18211.75,18202.8,-8.95,-0.049144097,2022
40,04-11-2022,18053.4,18117.15,63.75,0.35311908,2022
41,03-11-2022,17968.35,18052.7,84.35,0.469436537,2022
42,02-11-2022,18177.9,18082.85,-95.05,-0.522887682,2022
43,01-11-2022,18130.7,18145.4,14.7,0.081077951,2022
44,31-10-2022,17910.2,18012.2,102,0.569507878,2022
45,28-10-2022,17756.4,17786.8,30.4,0.171205875,2022
46,27-10-2022,17771.4,17736.95,-34.45,-0.193850794,2022
47,25-10-2022,17808.3,17656.35,-151.95,-0.85325382,2022
48,24-10-2022,17736.35,17730.75,-5.6,-0.031573576,2022
49,21-10-2022,17622.85,17576.3,-46.55,-0.264145697,2022
50,20-10-2022,17423.1,17563.95,140.85,0.808409525,2022
51,19-10-2022,17568.15,17512.25,-55.9,-0.318189451,2022
52,18-10-2022,17438.75,17486.95,48.2,0.276395957,2022
53,17-10-2022,17144.8,17311.8,167,0.974056274,2022
54,14-10-2022,17322.3,17185.7,-136.6,-0.788578884,2022
55,13-10-2022,17087.35,17014.35,-73,-0.427216625,2022
56,12-10-2022,17025.55,17123.6,98.05,0.575899163,2022
57,11-10-2022,17256.05,16983.55,-272.5,-1.579156296,2022
58,10-10-2022,17094.35,17241,146.65,0.857885793,2022
59,07-10-2022,17287.2,17314.65,27.45,0.158788005,2022
60,06-10-2022,17379.25,17331.8,-47.45,-0.273026742,2022
61,04-10-2022,17147.45,17274.3,126.85,0.739760139,2022
62,03-10-2022,17102.1,16887.35,-214.75,-1.255693745,2022
63,30-09-2022,16798.05,17094.35,296.3,1.763895214,2022
64,29-09-2022,16993.6,16818.1,-175.5,-1.032741738,2022
65,28-09-2022,16870.55,16858.6,-11.95,-0.070833494,2022
66,27-09-2022,17110.9,17007.4,-103.5,-0.604877593,2022
67,26-09-2022,17156.3,17016.3,-140,-0.816026766,2022
68,23-09-2022,17593.85,17327.35,-266.5,-1.514733842,2022
69,22-09-2022,17609.65,17629.8,20.15,0.114425897,2022
70,21-09-2022,17766.35,17718.35,-48,-0.270173671,2022
71,20-09-2022,17770.4,17816.25,45.85,0.258013326,2022
72,19-09-2022,17540.65,17622.25,81.6,0.465205109,2022
73,16-09-2022,17796.8,17530.85,-265.95,-1.494369774,2022
74,15-09-2022,18046.35,17877.4,-168.95,-0.936200395,2022
75,14-09-2022,17771.15,18003.75,232.6,1.30886296,2022
76,13-09-2022,18044.45,18070.05,25.6,0.141871878,2022
77,12-09-2022,17890.85,17936.35,45.5,0.254319946,2022
78,09-09-2022,17923.35,17833.35,-90,-0.502138272,2022
79,08-09-2022,17748.15,17798.75,50.6,0.285100137,2022
80,07-09-2022,17519.4,17624.4,105,0.599335594,2022
81,06-09-2022,17695.7,17655.6,-40.1,-0.226608724,2022
82,05-09-2022,17546.45,17665.8,119.35,0.680194569,2022
83,02-09-2022,17598.4,17539.45,-58.95,-0.334973634,2022
84,01-09-2022,17485.7,17542.8,57.1,0.326552554,2022
85,30-08-2022,17414.95,17759.3,344.35,1.977324081,2022
