,INDEX_NAME,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year,day,week_number
745,Nifty 50,2020-12-28,13815.15,13873.2,58.05,0.42,2020,Monday,53
744,Nifty 50,2020-12-29,13910.35,13932.6,22.25,0.16,2020,Tuesday,53
743,Nifty 50,2020-12-30,13980.9,13981.95,1.05,0.01,2020,Wednesday,53
742,Nifty 50,2020-12-31,13970.0,13981.75,11.75,0.08,2020,Thursday,53
741,Nifty 50,2021-01-01,13996.1,14018.5,22.4,0.16,2021,Friday,53
740,Nifty 50,2021-01-04,14104.35,14132.9,28.55,0.2,2021,Monday,1
739,Nifty 50,2021-01-05,14075.15,14199.5,124.35,0.88,2021,Tuesday,1
738,Nifty 50,2021-01-06,14240.95,14146.25,-94.7,-0.66,2021,Wednesday,1
737,Nifty 50,2021-01-07,14253.75,14137.35,-116.4,-0.82,2021,Thursday,1
736,Nifty 50,2021-01-08,14258.4,14347.25,88.85,0.62,2021,Friday,1
735,Nifty 50,2021-01-11,14474.05,14484.75,10.7,0.07,2021,Monday,2
734,Nifty 50,2021-01-12,14473.8,14563.45,89.65,0.62,2021,Tuesday,2
733,Nifty 50,2021-01-13,14639.8,14564.85,-74.95,-0.51,2021,Wednesday,2
732,Nifty 50,2021-01-14,14550.05,14595.6,45.55,0.31,2021,Thursday,2
731,Nifty 50,2021-01-15,14594.35,14433.7,-160.65,-1.1,2021,Friday,2
730,Nifty 50,2021-01-18,14453.3,14281.3,-172.0,-1.19,2021,Monday,3
729,Nifty 50,2021-01-19,14371.65,14521.15,149.5,1.04,2021,Tuesday,3
728,Nifty 50,2021-01-20,14538.3,14644.7,106.4,0.73,2021,Wednesday,3
727,Nifty 50,2021-01-21,14730.95,14590.35,-140.6,-0.95,2021,Thursday,3
726,Nifty 50,2021-01-22,14583.4,14371.9,-211.5,-1.45,2021,Friday,3
725,Nifty 50,2021-01-25,14477.8,14238.9,-238.9,-1.65,2021,Monday,4
724,Nifty 50,2021-01-27,14237.95,13967.5,-270.45,-1.9,2021,Wednesday,4
723,Nifty 50,2021-01-28,13810.4,13817.55,7.15,0.05,2021,Thursday,4
722,Nifty 50,2021-01-29,13946.6,13634.6,-312.0,-2.24,2021,Friday,4
721,Nifty 50,2021-02-01,13758.6,14281.2,522.6,3.8,2021,Monday,5
720,Nifty 50,2021-02-02,14481.1,14647.85,166.75,1.15,2021,Tuesday,5
719,Nifty 50,2021-02-03,14754.9,14789.95,35.05,0.24,2021,Wednesday,5
718,Nifty 50,2021-02-04,14789.05,14895.65,106.6,0.72,2021,Thursday,5
717,Nifty 50,2021-02-05,14952.6,14924.25,-28.35,-0.19,2021,Friday,5
716,Nifty 50,2021-02-08,15064.3,15115.8,51.5,0.34,2021,Monday,6
715,Nifty 50,2021-02-09,15164.15,15109.3,-54.85,-0.36,2021,Tuesday,6
714,Nifty 50,2021-02-10,15119.05,15106.5,-12.55,-0.08,2021,Wednesday,6
713,Nifty 50,2021-02-11,15073.25,15173.3,100.05,0.66,2021,Thursday,6
712,Nifty 50,2021-02-12,15186.2,15163.3,-22.9,-0.15,2021,Friday,6
711,Nifty 50,2021-02-15,15270.3,15314.7,44.4,0.29,2021,Monday,7
710,Nifty 50,2021-02-16,15371.45,15313.45,-58.0,-0.38,2021,Tuesday,7
709,Nifty 50,2021-02-17,15279.9,15208.9,-71.0,-0.46,2021,Wednesday,7
708,Nifty 50,2021-02-18,15238.7,15118.95,-119.75,-0.79,2021,Thursday,7
707,Nifty 50,2021-02-19,15074.8,14981.75,-93.05,-0.62,2021,Friday,7
706,Nifty 50,2021-02-22,14999.05,14675.7,-323.35,-2.16,2021,Monday,8
705,Nifty 50,2021-02-23,14782.25,14707.8,-74.45,-0.5,2021,Tuesday,8
704,Nifty 50,2021-02-24,14729.15,14982.0,252.85,1.72,2021,Wednesday,8
703,Nifty 50,2021-02-25,15079.85,15097.35,17.5,0.12,2021,Thursday,8
702,Nifty 50,2021-02-26,14888.6,14529.15,-359.45,-2.41,2021,Friday,8
701,Nifty 50,2021-03-01,14702.5,14761.55,59.05,0.4,2021,Monday,9
700,Nifty 50,2021-03-02,14865.3,14919.1,53.8,0.36,2021,Tuesday,9
699,Nifty 50,2021-03-03,15064.4,15245.6,181.2,1.2,2021,Wednesday,9
698,Nifty 50,2021-03-04,15026.75,15080.75,54.0,0.36,2021,Thursday,9
697,Nifty 50,2021-03-05,14977.95,14938.1,-39.85,-0.27,2021,Friday,9
696,Nifty 50,2021-03-08,15002.45,14956.2,-46.25,-0.31,2021,Monday,10
695,Nifty 50,2021-03-09,15049.9,15098.4,48.5,0.32,2021,Tuesday,10
694,Nifty 50,2021-03-10,15202.15,15174.8,-27.35,-0.18,2021,Wednesday,10
693,Nifty 50,2021-03-12,15321.15,15030.95,-290.2,-1.89,2021,Friday,10
692,Nifty 50,2021-03-15,15048.4,14929.5,-118.9,-0.79,2021,Monday,11
691,Nifty 50,2021-03-16,14996.1,14910.45,-85.65,-0.57,2021,Tuesday,11
690,Nifty 50,2021-03-17,14946.55,14721.3,-225.25,-1.51,2021,Wednesday,11
689,Nifty 50,2021-03-18,14855.5,14557.85,-297.65,-2.0,2021,Thursday,11
688,Nifty 50,2021-03-19,14471.15,14744.0,272.85,1.89,2021,Friday,11
687,Nifty 50,2021-03-22,14736.3,14736.4,0.1,0.0,2021,Monday,12
686,Nifty 50,2021-03-23,14768.55,14814.75,46.2,0.31,2021,Tuesday,12
685,Nifty 50,2021-03-24,14712.45,14549.4,-163.05,-1.11,2021,Wednesday,12
684,Nifty 50,2021-03-25,14570.9,14324.9,-246.0,-1.69,2021,Thursday,12
683,Nifty 50,2021-03-26,14506.3,14507.3,1.0,0.01,2021,Friday,12
682,Nifty 50,2021-03-30,14628.5,14845.1,216.6,1.48,2021,Tuesday,13
681,Nifty 50,2021-03-31,14811.85,14690.7,-121.15,-0.82,2021,Wednesday,13
680,Nifty 50,2021-04-01,14798.4,14867.35,68.95,0.47,2021,Thursday,13
679,Nifty 50,2021-04-05,14837.7,14637.8,-199.9,-1.35,2021,Monday,14
678,Nifty 50,2021-04-06,14737.0,14683.5,-53.5,-0.36,2021,Tuesday,14
677,Nifty 50,2021-04-07,14716.45,14819.05,102.6,0.7,2021,Wednesday,14
676,Nifty 50,2021-04-08,14875.65,14873.8,-1.85,-0.01,2021,Thursday,14
675,Nifty 50,2021-04-09,14882.65,14834.85,-47.8,-0.32,2021,Friday,14
674,Nifty 50,2021-04-12,14644.65,14310.8,-333.85,-2.28,2021,Monday,15
673,Nifty 50,2021-04-13,14364.9,14504.8,139.9,0.97,2021,Tuesday,15
672,Nifty 50,2021-04-15,14522.4,14581.45,59.05,0.41,2021,Thursday,15
671,Nifty 50,2021-04-16,14599.6,14617.85,18.25,0.13,2021,Friday,15
670,Nifty 50,2021-04-19,14306.6,14359.45,52.85,0.37,2021,Monday,16
669,Nifty 50,2021-04-20,14526.7,14296.4,-230.3,-1.59,2021,Tuesday,16
668,Nifty 50,2021-04-22,14219.15,14406.15,187.0,1.32,2021,Thursday,16
667,Nifty 50,2021-04-23,14326.35,14341.35,15.0,0.1,2021,Friday,16
666,Nifty 50,2021-04-26,14449.45,14485.0,35.55,0.25,2021,Monday,17
665,Nifty 50,2021-04-27,14493.8,14653.05,159.25,1.1,2021,Tuesday,17
664,Nifty 50,2021-04-28,14710.5,14864.55,154.05,1.05,2021,Wednesday,17
663,Nifty 50,2021-04-29,14979.0,14894.9,-84.1,-0.56,2021,Thursday,17
662,Nifty 50,2021-04-30,14747.35,14631.1,-116.25,-0.79,2021,Friday,17
661,Nifty 50,2021-05-03,14481.05,14634.15,153.1,1.06,2021,Monday,18
660,Nifty 50,2021-05-04,14687.25,14496.5,-190.75,-1.3,2021,Tuesday,18
659,Nifty 50,2021-05-05,14604.15,14617.85,13.7,0.09,2021,Wednesday,18
658,Nifty 50,2021-05-06,14668.35,14724.8,56.45,0.38,2021,Thursday,18
657,Nifty 50,2021-05-07,14816.85,14823.15,6.3,0.04,2021,Friday,18
656,Nifty 50,2021-05-10,14928.25,14942.35,14.1,0.09,2021,Monday,19
655,Nifty 50,2021-05-11,14789.7,14850.75,61.05,0.41,2021,Tuesday,19
654,Nifty 50,2021-05-12,14823.55,14696.5,-127.05,-0.86,2021,Wednesday,19
653,Nifty 50,2021-05-14,14749.4,14677.8,-71.6,-0.49,2021,Friday,19
652,Nifty 50,2021-05-17,14756.25,14923.15,166.9,1.13,2021,Monday,20
651,Nifty 50,2021-05-18,15067.2,15108.1,40.9,0.27,2021,Tuesday,20
650,Nifty 50,2021-05-19,15058.6,15030.15,-28.45,-0.19,2021,Wednesday,20
649,Nifty 50,2021-05-20,15042.6,14906.05,-136.55,-0.91,2021,Thursday,20
648,Nifty 50,2021-05-21,14987.8,15175.3,187.5,1.25,2021,Friday,20
647,Nifty 50,2021-05-24,15211.35,15197.7,-13.65,-0.09,2021,Monday,21
646,Nifty 50,2021-05-25,15291.75,15208.45,-83.3,-0.54,2021,Tuesday,21
645,Nifty 50,2021-05-26,15257.05,15301.45,44.4,0.29,2021,Wednesday,21
644,Nifty 50,2021-05-27,15323.95,15337.85,13.9,0.09,2021,Thursday,21
643,Nifty 50,2021-05-28,15421.2,15435.65,14.45,0.09,2021,Friday,21
642,Nifty 50,2021-05-31,15437.75,15582.8,145.05,0.94,2021,Monday,22
641,Nifty 50,2021-06-01,15629.65,15574.85,-54.8,-0.35,2021,Tuesday,22
640,Nifty 50,2021-06-02,15520.35,15576.2,55.85,0.36,2021,Wednesday,22
639,Nifty 50,2021-06-03,15655.55,15690.35,34.8,0.22,2021,Thursday,22
638,Nifty 50,2021-06-04,15712.5,15670.25,-42.25,-0.27,2021,Friday,22
637,Nifty 50,2021-06-07,15725.1,15751.65,26.55,0.17,2021,Monday,23
636,Nifty 50,2021-06-08,15773.9,15740.1,-33.8,-0.21,2021,Tuesday,23
635,Nifty 50,2021-06-09,15766.3,15635.35,-130.95,-0.83,2021,Wednesday,23
634,Nifty 50,2021-06-10,15692.1,15737.75,45.65,0.29,2021,Thursday,23
633,Nifty 50,2021-06-11,15796.45,15799.35,2.9,0.02,2021,Friday,23
632,Nifty 50,2021-06-14,15791.4,15811.85,20.45,0.13,2021,Monday,24
631,Nifty 50,2021-06-15,15866.95,15869.25,2.3,0.01,2021,Tuesday,24
630,Nifty 50,2021-06-16,15847.5,15767.55,-79.95,-0.5,2021,Wednesday,24
629,Nifty 50,2021-06-17,15648.3,15691.4,43.1,0.28,2021,Thursday,24
628,Nifty 50,2021-06-18,15756.5,15683.35,-73.15,-0.46,2021,Friday,24
627,Nifty 50,2021-06-21,15525.85,15746.5,220.65,1.42,2021,Monday,25
626,Nifty 50,2021-06-22,15840.5,15772.75,-67.75,-0.43,2021,Tuesday,25
625,Nifty 50,2021-06-23,15862.8,15686.95,-175.85,-1.11,2021,Wednesday,25
624,Nifty 50,2021-06-24,15737.3,15790.45,53.15,0.34,2021,Thursday,25
623,Nifty 50,2021-06-25,15839.35,15860.35,21.0,0.13,2021,Friday,25
622,Nifty 50,2021-06-28,15915.35,15814.7,-100.65,-0.63,2021,Monday,26
621,Nifty 50,2021-06-29,15807.5,15748.45,-59.05,-0.37,2021,Tuesday,26
620,Nifty 50,2021-06-30,15776.9,15721.5,-55.4,-0.35,2021,Wednesday,26
619,Nifty 50,2021-07-01,15755.05,15680.0,-75.05,-0.48,2021,Thursday,26
618,Nifty 50,2021-07-02,15705.85,15722.2,16.35,0.1,2021,Friday,26
617,Nifty 50,2021-07-05,15793.4,15834.35,40.95,0.26,2021,Monday,27
616,Nifty 50,2021-07-06,15813.75,15818.25,4.5,0.03,2021,Tuesday,27
615,Nifty 50,2021-07-07,15819.6,15879.65,60.05,0.38,2021,Wednesday,27
614,Nifty 50,2021-07-08,15855.4,15727.9,-127.5,-0.8,2021,Thursday,27
613,Nifty 50,2021-07-09,15688.25,15689.8,1.55,0.01,2021,Friday,27
612,Nifty 50,2021-07-12,15766.8,15692.6,-74.2,-0.47,2021,Monday,28
611,Nifty 50,2021-07-13,15794.0,15812.35,18.35,0.12,2021,Tuesday,28
610,Nifty 50,2021-07-14,15808.7,15853.95,45.25,0.29,2021,Wednesday,28
609,Nifty 50,2021-07-15,15872.15,15924.2,52.05,0.33,2021,Thursday,28
608,Nifty 50,2021-07-16,15958.35,15923.4,-34.95,-0.22,2021,Friday,28
607,Nifty 50,2021-07-19,15754.5,15752.4,-2.1,-0.01,2021,Monday,29
606,Nifty 50,2021-07-20,15703.95,15632.1,-71.85,-0.46,2021,Tuesday,29
605,Nifty 50,2021-07-22,15736.6,15824.05,87.45,0.56,2021,Thursday,29
604,Nifty 50,2021-07-23,15856.8,15856.05,-0.75,-0.0,2021,Friday,29
603,Nifty 50,2021-07-26,15849.3,15824.45,-24.85,-0.16,2021,Monday,30
602,Nifty 50,2021-07-27,15860.5,15746.45,-114.05,-0.72,2021,Tuesday,30
601,Nifty 50,2021-07-28,15761.55,15709.4,-52.15,-0.33,2021,Wednesday,30
600,Nifty 50,2021-07-29,15762.7,15778.45,15.75,0.1,2021,Thursday,30
599,Nifty 50,2021-07-30,15800.6,15763.05,-37.55,-0.24,2021,Friday,30
598,Nifty 50,2021-08-02,15874.9,15885.15,10.25,0.06,2021,Monday,31
597,Nifty 50,2021-08-03,15951.55,16130.75,179.2,1.12,2021,Tuesday,31
596,Nifty 50,2021-08-04,16195.25,16258.8,63.55,0.39,2021,Wednesday,31
595,Nifty 50,2021-08-05,16288.95,16294.6,5.65,0.03,2021,Thursday,31
594,Nifty 50,2021-08-06,16304.4,16238.2,-66.2,-0.41,2021,Friday,31
593,Nifty 50,2021-08-09,16281.35,16258.25,-23.1,-0.14,2021,Monday,32
592,Nifty 50,2021-08-10,16274.8,16280.1,5.3,0.03,2021,Tuesday,32
591,Nifty 50,2021-08-11,16327.3,16282.25,-45.05,-0.28,2021,Wednesday,32
590,Nifty 50,2021-08-12,16303.65,16364.4,60.75,0.37,2021,Thursday,32
589,Nifty 50,2021-08-13,16385.7,16529.1,143.4,0.88,2021,Friday,32
588,Nifty 50,2021-08-16,16518.4,16563.05,44.65,0.27,2021,Monday,33
587,Nifty 50,2021-08-17,16545.25,16614.6,69.35,0.42,2021,Tuesday,33
586,Nifty 50,2021-08-18,16691.95,16568.85,-123.1,-0.74,2021,Wednesday,33
585,Nifty 50,2021-08-20,16382.5,16450.5,68.0,0.42,2021,Friday,33
584,Nifty 50,2021-08-23,16592.25,16496.45,-95.8,-0.58,2021,Monday,34
583,Nifty 50,2021-08-24,16561.4,16624.6,63.2,0.38,2021,Tuesday,34
582,Nifty 50,2021-08-25,16654.0,16634.65,-19.35,-0.12,2021,Wednesday,34
581,Nifty 50,2021-08-26,16627.95,16636.9,8.95,0.05,2021,Thursday,34
580,Nifty 50,2021-08-27,16642.55,16705.2,62.65,0.38,2021,Friday,34
579,Nifty 50,2021-08-30,16775.85,16931.05,155.2,0.93,2021,Monday,35
578,Nifty 50,2021-08-31,16947.5,17132.2,184.7,1.09,2021,Tuesday,35
577,Nifty 50,2021-09-01,17185.6,17076.25,-109.35,-0.64,2021,Wednesday,35
576,Nifty 50,2021-09-02,17095.4,17234.15,138.75,0.81,2021,Thursday,35
575,Nifty 50,2021-09-03,17262.45,17323.6,61.15,0.35,2021,Friday,35
574,Nifty 50,2021-09-06,17399.35,17377.8,-21.55,-0.12,2021,Monday,36
573,Nifty 50,2021-09-07,17401.55,17362.1,-39.45,-0.23,2021,Tuesday,36
572,Nifty 50,2021-09-08,17375.75,17353.5,-22.25,-0.13,2021,Wednesday,36
571,Nifty 50,2021-09-09,17312.85,17369.25,56.4,0.33,2021,Thursday,36
570,Nifty 50,2021-09-13,17363.55,17355.3,-8.25,-0.05,2021,Monday,37
569,Nifty 50,2021-09-14,17420.35,17380.0,-40.35,-0.23,2021,Tuesday,37
568,Nifty 50,2021-09-15,17387.65,17519.45,131.8,0.76,2021,Wednesday,37
567,Nifty 50,2021-09-16,17539.2,17629.5,90.3,0.51,2021,Thursday,37
566,Nifty 50,2021-09-17,17709.65,17585.15,-124.5,-0.7,2021,Friday,37
565,Nifty 50,2021-09-20,17443.85,17396.9,-46.95,-0.27,2021,Monday,38
564,Nifty 50,2021-09-21,17450.5,17562.0,111.5,0.64,2021,Tuesday,38
563,Nifty 50,2021-09-22,17580.9,17546.65,-34.25,-0.19,2021,Wednesday,38
562,Nifty 50,2021-09-23,17670.85,17822.95,152.1,0.86,2021,Thursday,38
561,Nifty 50,2021-09-24,17897.45,17853.2,-44.25,-0.25,2021,Friday,38
560,Nifty 50,2021-09-27,17932.2,17855.1,-77.1,-0.43,2021,Monday,39
559,Nifty 50,2021-09-28,17906.45,17748.6,-157.85,-0.88,2021,Tuesday,39
558,Nifty 50,2021-09-29,17657.95,17711.3,53.35,0.3,2021,Wednesday,39
557,Nifty 50,2021-09-30,17718.9,17618.15,-100.75,-0.57,2021,Thursday,39
556,Nifty 50,2021-10-01,17531.9,17532.05,0.15,0.0,2021,Friday,39
555,Nifty 50,2021-10-04,17615.55,17691.25,75.7,0.43,2021,Monday,40
554,Nifty 50,2021-10-05,17661.35,17822.3,160.95,0.91,2021,Tuesday,40
553,Nifty 50,2021-10-06,17861.5,17646.0,-215.5,-1.21,2021,Wednesday,40
552,Nifty 50,2021-10-07,17810.55,17790.35,-20.2,-0.11,2021,Thursday,40
551,Nifty 50,2021-10-08,17886.85,17895.2,8.35,0.05,2021,Friday,40
550,Nifty 50,2021-10-11,17867.55,17945.95,78.4,0.44,2021,Monday,41
549,Nifty 50,2021-10-12,17915.8,17991.95,76.15,0.43,2021,Tuesday,41
548,Nifty 50,2021-10-13,18097.85,18161.75,63.9,0.35,2021,Wednesday,41
547,Nifty 50,2021-10-14,18272.85,18338.55,65.7,0.36,2021,Thursday,41
546,Nifty 50,2021-10-18,18500.1,18477.05,-23.05,-0.12,2021,Monday,42
545,Nifty 50,2021-10-19,18602.35,18418.75,-183.6,-0.99,2021,Tuesday,42
544,Nifty 50,2021-10-20,18439.9,18266.6,-173.3,-0.94,2021,Wednesday,42
543,Nifty 50,2021-10-21,18382.7,18178.1,-204.6,-1.11,2021,Thursday,42
542,Nifty 50,2021-10-22,18230.7,18114.9,-115.8,-0.64,2021,Friday,42
541,Nifty 50,2021-10-25,18229.5,18125.4,-104.1,-0.57,2021,Monday,43
540,Nifty 50,2021-10-26,18154.5,18268.4,113.9,0.63,2021,Tuesday,43
539,Nifty 50,2021-10-27,18295.85,18210.95,-84.9,-0.46,2021,Wednesday,43
538,Nifty 50,2021-10-28,18187.65,17857.25,-330.4,-1.82,2021,Thursday,43
537,Nifty 50,2021-10-29,17833.05,17671.65,-161.4,-0.91,2021,Friday,43
536,Nifty 50,2021-11-01,17783.15,17929.65,146.5,0.82,2021,Monday,44
535,Nifty 50,2021-11-02,17970.9,17888.95,-81.95,-0.46,2021,Tuesday,44
534,Nifty 50,2021-11-03,17947.95,17829.2,-118.75,-0.66,2021,Wednesday,44
533,Nifty 50,2021-11-04,17935.05,17916.8,-18.25,-0.1,2021,Thursday,44
532,Nifty 50,2021-11-08,18040.2,18068.55,28.35,0.16,2021,Monday,45
531,Nifty 50,2021-11-09,18084.35,18044.25,-40.1,-0.22,2021,Tuesday,45
530,Nifty 50,2021-11-10,17973.45,18017.2,43.75,0.24,2021,Wednesday,45
529,Nifty 50,2021-11-11,17967.45,17873.6,-93.85,-0.52,2021,Thursday,45
528,Nifty 50,2021-11-12,17977.6,18102.75,125.15,0.7,2021,Friday,45
527,Nifty 50,2021-11-15,18140.95,18109.45,-31.5,-0.17,2021,Monday,46
526,Nifty 50,2021-11-16,18127.05,17999.2,-127.85,-0.71,2021,Tuesday,46
525,Nifty 50,2021-11-17,17939.35,17898.65,-40.7,-0.23,2021,Wednesday,46
524,Nifty 50,2021-11-18,17890.55,17764.8,-125.75,-0.7,2021,Thursday,46
523,Nifty 50,2021-11-22,17796.25,17416.55,-379.7,-2.13,2021,Monday,47
522,Nifty 50,2021-11-23,17281.75,17503.35,221.6,1.28,2021,Tuesday,47
521,Nifty 50,2021-11-24,17550.05,17415.05,-135.0,-0.77,2021,Wednesday,47
520,Nifty 50,2021-11-25,17417.3,17536.25,118.95,0.68,2021,Thursday,47
519,Nifty 50,2021-11-26,17338.75,17026.45,-312.3,-1.8,2021,Friday,47
518,Nifty 50,2021-11-29,17055.8,17053.95,-1.85,-0.01,2021,Monday,48
517,Nifty 50,2021-11-30,17051.15,16983.2,-67.95,-0.4,2021,Tuesday,48
516,Nifty 50,2021-12-01,17104.4,17166.9,62.5,0.37,2021,Wednesday,48
515,Nifty 50,2021-12-02,17183.2,17401.65,218.45,1.27,2021,Thursday,48
514,Nifty 50,2021-12-03,17424.9,17196.7,-228.2,-1.31,2021,Friday,48
513,Nifty 50,2021-12-06,17209.05,16912.25,-296.8,-1.72,2021,Monday,49
512,Nifty 50,2021-12-07,17044.1,17176.7,132.6,0.78,2021,Tuesday,49
511,Nifty 50,2021-12-08,17315.25,17469.75,154.5,0.89,2021,Wednesday,49
510,Nifty 50,2021-12-09,17524.4,17516.85,-7.55,-0.04,2021,Thursday,49
509,Nifty 50,2021-12-10,17476.05,17511.3,35.25,0.2,2021,Friday,49
508,Nifty 50,2021-12-13,17619.1,17368.25,-250.85,-1.42,2021,Monday,50
507,Nifty 50,2021-12-14,17283.2,17324.9,41.7,0.24,2021,Tuesday,50
506,Nifty 50,2021-12-15,17323.65,17221.4,-102.25,-0.59,2021,Wednesday,50
505,Nifty 50,2021-12-16,17373.0,17248.4,-124.6,-0.72,2021,Thursday,50
504,Nifty 50,2021-12-17,17276.0,16985.2,-290.8,-1.68,2021,Friday,50
503,Nifty 50,2021-12-20,16824.25,16614.2,-210.05,-1.25,2021,Monday,51
502,Nifty 50,2021-12-21,16773.15,16770.85,-2.3,-0.01,2021,Tuesday,51
501,Nifty 50,2021-12-22,16865.55,16955.45,89.9,0.53,2021,Wednesday,51
500,Nifty 50,2021-12-23,17066.8,17072.6,5.8,0.03,2021,Thursday,51
499,Nifty 50,2021-12-24,17149.5,17003.75,-145.75,-0.85,2021,Friday,51
498,Nifty 50,2021-12-27,16937.75,17086.25,148.5,0.88,2021,Monday,52
